"symbol","year","total_dividend"
"BBCA.JK",2019,71
"BBCA.JK",2020,110.6
"BBCA.JK",2021,111.4
"BBCA.JK",2022,155
"BBCA.JK",2023,212.5
"BBCA.JK",2024,227.5
"BBRI.JK",2019,120.156
"BBRI.JK",2020,152.908
"BBRI.JK",2021,89.9127
"BBRI.JK",2022,174.251
"BBRI.JK",2023,288.221
"BBRI.JK",2024,319
"BYAN.JK",2019,127.053
"BYAN.JK",2020,29.508
"BYAN.JK",2021,128.628
"BYAN.JK",2022,904.56
"BYAN.JK",2023,586.908
"BMRI.JK",2019,120.608
"BMRI.JK",2020,176.671
"BMRI.JK",2021,110.136
"BMRI.JK",2022,180.318
"BMRI.JK",2023,264.668
"BMRI.JK",2024,353.958
"TLKM.JK",2019,54.6075
"TLKM.JK",2020,154.068
"TLKM.JK",2021,168.01
"TLKM.JK",2022,149.966
"TLKM.JK",2023,167.599
"ASII.JK",2019,211.13
"ASII.JK",2020,184
"ASII.JK",2021,132
"ASII.JK",2022,282
"ASII.JK",2023,650
"BBNI.JK",2019,201.29
"BBNI.JK",2020,206.241
"BBNI.JK",2021,44.0226
"BBNI.JK",2022,146.297
"BBNI.JK",2023,392.78
"BBNI.JK",2024,280.495
